,x,y,label
natural gas,9.562642,8.638412,2
quality management,10.153946,5.374282,-1
risk management,8.317448,6.2201233,6
rivers,8.406001,5.000972,6
site selection,8.164636,7.0139155,6
water pollution,8.407081,4.7746296,6
water quality,8.659739,5.521314,6
development and utilizations,8.969506,6.1287827,-1
distributed energies,8.778382,8.308901,6
engineering materials,8.498913,6.244106,6
environmental assessment,7.8760705,6.4606752,6
policy recommendations,7.6716614,6.865129,6
risk identification and management,8.391532,6.1486897,6
storage and transportations,8.773913,6.295201,6
water quality monitoring,8.659167,5.539794,6
natural gas transportation,9.546663,8.628097,2
energy efficiency,8.223077,8.5531645,6
energy resources,8.663343,8.090898,6
flare stacks,5.136324,5.359806,4
gas emissions,6.3329954,1.3412119,-1
gas industry,8.991419,6.092074,6
global warming,8.641531,8.616808,-1
liquefied natural gas,9.661156,8.714692,2
liquid methane,11.092633,1.6488779,-1
methane,11.074255,1.6657238,-1
natural gas deposits,9.526461,8.669106,2
petroleum industry,9.069814,6.0500135,6
steam reforming,8.821862,5.9625177,6
synthesis gas,8.861752,5.928915,6
synthesis gas manufacture,8.858116,5.9467535,6
compressed natural gas technologies,4.627885,10.4741,-1
dry reforming-of-methane,8.97641,6.0404787,6
environmental pollutions,7.684895,3.3273604,6
management strategies,8.170815,6.5677233,6
oil and gas production,9.0313225,5.8935304,6
steam reforming of methane,8.82857,5.918207,6
synthesis gasses (syngas),9.218365,7.2202845,-1
utilization of methane,11.089637,1.649943,-1
compressed natural gas,4.628727,10.473256,-1
air quality,10.278464,5.3408575,-1
atmospheric thermodynamics,7.9591584,5.226153,6
benzene,9.62532,4.5408826,6
boundary layers,8.05442,6.017902,6
diesel engines,5.9953914,1.8452656,1
economics,7.6092286,6.9586487,6
gas chromatography,8.761516,5.939546,6
gas emissions,6.32907,1.3373302,-1
gas fuel analysis,8.912325,6.005569,6
gas generators,8.850535,6.3698483,6
gasoline,11.016759,1.4905323,-1
hierarchical clustering,7.7287283,6.9634714,6
hierarchical systems,8.0557785,6.75917,6
hydrocarbons,9.522604,4.5755258,6
methane,11.035885,1.7033106,-1
mixing,8.554217,5.8758974,6
monoterpenes,5.094145,5.190039,4
urban growth,7.6894174,6.302784,6
non-methane hydrocarbons,9.513773,4.6470876,6
post-monsoon period,8.29821,6.1810184,6
principal components,8.138832,6.608761,6
solid fuel combustion,8.664416,5.9633946,-1
source apportionment,8.210104,4.2812304,6
traffic emissions,8.141685,6.329877,6
two dimensional gas chromatography,8.643394,5.9340873,6
urban air pollution,9.138448,4.749959,-1
liquefied petroleum gas,9.155073,5.9684095,6
climate change,4.218274,5.059656,-1
climate models,4.227274,5.0518694,-1
hydrogen,10.9001255,5.6072006,-1
oxygen,8.32363,5.871541,6
wind power,8.889561,7.0023355,6
alternative energy source,8.76302,8.217972,6
economic viability,7.730864,6.540254,6
electricity generation,8.940322,6.823145,6
electricity grids,8.999276,8.299658,6
energy distributions,8.674176,8.276385,6
renewable energies,8.78731,8.285251,6
renewable sources,8.780039,8.245728,6
transport method,8.208582,6.5422325,6
electric power generation,8.848288,6.9627438,6
automobiles,9.507341,7.836705,-1
biodiesel,24.055346,6.211837,-1
biogas,8.611691,4.775558,-1
climate change,4.1953692,5.054093,-1
commercial vehicles,8.632266,6.4707093,6
energy utilization,8.191564,8.606221,6
environmental impact,7.8841105,6.4300838,6
ethanol,9.420503,4.198268,6
fossil fuels,7.679395,3.3836,-1
gas emissions,6.3303223,1.3380125,-1
greenhouse gases,17.082302,6.075087,-1
land use,8.436532,6.105664,6
laws and legislation,7.6890945,6.555697,6
light weight vehicles,8.47591,6.0996184,6
machinery,8.398172,6.599233,6
roads and streets,8.707417,7.3999124,-1
abiotic depletion,8.265391,4.187519,6
climate change impact,4.224468,5.0428395,-1
european legislation,7.8111677,6.592119,6
fossil resources,7.6774726,3.3827457,-1
light commercial vehicles,8.584785,6.3064914,6
light duty vehicles,8.477096,6.090342,6
non-road mobile machineries,8.2884,6.5705743,6
transport sectors,8.171678,6.5844097,6
bioethanol,24.056925,6.21542,-1
air quality,10.237557,5.3814073,-1
battery electric vehicles,9.834623,7.702638,-1
carbon dioxide,13.198886,8.748453,0
climate change,4.1976247,5.064404,-1
combustion,8.642266,5.963539,-1
emission control,8.855605,6.869503,-1
energy policy,8.667033,8.62978,6
energy security,8.666228,8.631095,6
internal combustion engines,7.8342133,5.5992603,-1
life cycle,4.66348,9.264786,-1
sulfur dioxide,10.314005,4.1263704,6
air pollutant emission,8.24292,4.229329,6
electric vehicles (evs),9.659327,7.808686,-1
environmental assessment,7.8746824,6.472913,6
global climate changes,4.178331,5.087473,-1
internal combustion engine vehicles,7.833862,5.5984516,-1
life cycle assessment (lca),9.1666155,3.9882767,-1
plug in hybrid electric vehicles,9.561442,7.75712,-1
vehicle end-of-life,8.296312,6.24361,6
plug-in hybrid vehicles,9.510705,7.6678686,-1
decision making,7.688604,7.317092,6
effluents,8.712312,5.7110844,6
geographical distribution,7.6805444,6.750441,6
groundwater,8.483928,4.8693657,6
groundwater pollution,8.489821,4.7550516,6
hydrogeology,6.6817822,6.688906,-1
industrial research,8.3187475,6.5672274,6
pollution control,8.707863,5.97594,6
river pollution,8.409438,4.9002337,6
sewage,8.696776,5.1261253,6
waste treatment,8.6874,5.330336,6
water quality,8.659296,5.522728,6
water treatment,8.70115,5.313576,6
groundwater sources,8.484515,4.848432,6
industrial effluent,8.697535,5.7646103,6
literature analysis,7.1087666,6.9799304,6
regional distribution,7.7392387,6.727167,6
research questions,8.040435,6.7654676,6
surface water sources,8.553751,5.350044,6
sustainable waste management,8.534306,5.9257474,6
water quality monitoring,8.657706,5.5417614,6
surface waters,8.419044,5.440557,6
biomass,9.611929,6.006701,6
carbon capture,13.181231,8.683409,0
carbon dioxide,13.231348,8.726726,0
compressed natural gas,4.630334,10.471646,-1
control systems,8.147449,6.6487756,6
greenhouse gases,17.103237,6.0941453,-1
seawater,8.705708,5.0703564,6
sodium carbonate,10.180952,4.8627496,6
algal cultivations,9.170043,5.5773735,6
biomass productions,8.86725,6.0375276,6
carbon capture and storages (ccs),8.796529,4.748906,-1
environmental safety,7.370331,6.5359054,6
flat panel,8.324114,6.3933783,6
greenhouse gases (ghg),8.660477,6.581387,-1
semi-continuous mode,8.165663,6.44437,6
sequestration of co2,7.5902147,4.065314,6
sodium compounds,10.09987,4.8470526,6
assessment method,7.835977,6.7791963,6
bus transport,8.142752,6.2935085,6
comparative study,7.2856684,7.389541,6
environmental impact assessment,7.8784657,6.4493985,6
environmental indicator,7.8690147,6.5158863,6
greenhouse gas,8.358003,0.99356943,-1
multicriteria analysis,7.0405345,6.93771,6
public transport,8.093408,6.4878173,6
sustainability,10.165951,2.622438,-1
sweden,7.035345,2.5668151,3
carbon,13.124811,8.673078,0
fermentation,10.620876,0.74963474,-1
hydrogen economy,8.884972,5.6439247,-1
sustainable development,8.978811,6.0975537,-1
critical challenges,7.8678207,6.488287,6
economic viability,7.740399,6.5370064,6
global urbanization,9.067142,5.4792333,-1
impact on the environment,7.660288,6.0622253,6
material consumption,8.588997,8.046136,6
process integration,8.201857,6.621025,6
process sustainability,10.166453,2.6225553,-1
renewable hydrogen production,8.698034,7.124511,6
hydrogen production,8.695484,7.1214294,6
hydrogen,10.889677,5.6312065,-1
hydrogen,10.913675,5.6459575,-1
alternative energy,8.791227,8.277935,6
fermentation,10.620793,0.7498079,-1
fossil fuel,7.684227,3.3855553,-1
hydrogen,10.870819,5.6549582,-1
sustainability,10.166037,2.6224065,-1
urbanization,9.067122,5.479237,-1
acidogenic fermentation,10.620887,0.7496318,-1
biocatalyst,5.093408,5.286798,4
dark fermentation,10.620807,0.7497932,-1
economic aspect,7.8204737,6.5303464,6
environmental sustainability,10.1656685,2.6228185,-1
fermentation,10.620864,0.7496638,-1
fermentative hydrogen production,8.695291,7.1197405,6
genetic engineering,7.7929525,6.5557246,6
immobilization,5.1177344,5.2382474,4
metabolism,14.6462555,6.254221,-1
microflora,8.062524,4.269641,6
negative feedback,8.051055,6.404845,6
nonhuman,-3.7843788,18.431929,-1
priority journal,8.119255,17.46812,-1
recycling,8.599131,5.8499045,6
biomass,9.611216,6.006065,6
fermentation,10.620881,0.7496431,-1
waste water,8.657433,5.3327594,6
biomass,9.611523,6.006124,6
fermentation,10.620861,0.74966395,-1
hydrogen,10.875367,5.6510077,-1
waste water,8.656235,5.3326697,6
airflow,8.3889065,6.2429976,6
aquaculture production,8.109829,6.030101,6
aquaculture system,8.037675,6.0501432,6
compressed air,4.6445475,10.455931,-1
fish culture,7.985176,5.916367,6
jellyfish,7.970195,5.903261,6
mortality,8.16428,5.505083,6
plume,7.5439777,2.2477405,-1
recirculating system,8.296109,6.5262995,6
wave energy,8.741594,8.1776085,6
wave height,8.221241,6.3623085,6
ireland,6.750822,2.7547417,3
chrysaora hysoscella,5.1654897,5.1975555,4
hydrozoa,4.9901795,5.1506863,4
muggiaea,5.131103,5.2861977,4
pelagia,5.007449,5.2358675,4
scyphozoa,5.0582104,5.2809634,4
cd56 antigen,8.544888,5.150535,6
genomic dna,7.237288,4.908075,6
muscle ring finger 1 protein,9.005339,5.010925,6
taurine,9.308857,4.865446,6
allele,7.5783486,4.9014006,-1
animal experiment,8.4659815,11.15125,-1
article,-5.195005,4.503737,-1
breeding,7.16093,5.9980235,6
cattle breed,7.1773887,5.9852343,6
cell function,8.081062,5.910365,6
controlled study,7.2686396,12.690426,-1
cost effectiveness analysis,8.137907,6.301612,6
cross breeding,7.160643,5.997135,6
dna extraction,7.239003,4.90835,6
gene,8.38019,4.5754504,6
gene editing,8.3544445,4.577331,6
gene frequency,8.520545,4.7388597,6
gene insertion,8.381602,4.568572,6
gene linkage disequilibrium,7.8898854,4.2692056,-1
gene locus,8.359945,4.588605,6
gene mapping,8.433271,4.658614,6
genetic analysis,7.792258,6.5570292,6
genetic association,7.374915,6.2354712,6
genetic variability,7.107045,6.16825,6
genetic variation,7.138151,6.159243,6
genome-wide association study,7.5213327,6.345499,6
genotype,7.660982,4.8598714,-1
haplotype,7.5651555,4.922814,-1
heterozygosity,7.5729957,4.9047933,-1
lactation,5.1481204,5.263568,4
nonhuman,-3.7881894,18.42975,-1
phenotype,7.796257,4.7428517,-1
physical activity,8.052775,6.03321,6
quality control,10.15558,5.3741064,-1
reproductive success,7.8256216,5.7380443,6
simmental cattle,5.12105,5.4074297,4
single nucleotide polymorphism,7.096584,5.535009,6
south africa,6.961681,2.6650195,3
structure analysis,7.6652427,6.473125,6
air quality standards,10.2542305,5.3548293,-1
developing countries,8.0054865,6.5851994,6
health risks,8.24064,5.9313173,6
monitoring,8.513687,6.063012,6
particles (particulate matter),7.209955,0.6036576,-1
population statistics,7.4010434,6.633454,6
sulfur dioxide,10.315029,4.12392,6
air quality monitoring,8.724296,5.9416246,6
dalys (disabilityadjusted life years),9.138574,4.0318093,-1
epidemiological studies,7.2654977,7.353555,6
monitoring approach,8.53119,6.055814,6
monitoring stations,8.536448,6.0501986,6
national air quality standards,10.316394,5.294455,-1
outdoor air pollution,8.653913,5.0489364,6
pollutant concentration,8.277023,4.418879,6
air quality,10.233624,5.3741846,-1
fuel,8.921418,5.607847,-1
mustard gas,9.550861,8.613453,2
volatile organic compound,9.5453205,4.7235203,6
air quality,10.256006,5.3621016,-1
atmospheric pollution,7.70682,2.9880185,-1
correlation,7.400669,6.8517246,6
disease incidence,8.130378,5.489331,6
environmental modeling,7.7486796,6.639495,6
mortality,8.1693,5.5099216,6
particulate matter,7.2014503,0.5850363,-1
pollution exposure,8.022165,4.5313935,6
socioeconomic status,7.869991,6.414641,6
air monitoring,8.666597,5.972039,6
air pollution,9.159068,4.7261076,-1
air quality,10.3219185,5.3165374,-1
air quality standard,10.265611,5.3510528,-1
article,-5.2090564,4.5236087,-1
awareness,7.8889537,6.4697847,6
building industry,8.36403,6.5597115,6
combustion,8.703662,5.995506,-1
energy,8.734341,8.228997,6
environmental policy,7.620443,6.495136,6
industry,8.442211,6.5926113,6
mortality rate,8.149398,5.513657,6
pakistan,6.5831804,3.0918393,3
particulate matter,7.207814,0.60123557,-1
particulate matter 2.5,7.2065315,0.60337853,-1
politics,7.6088314,6.944443,6
traffic and transport,8.169639,6.288911,6
lahore,6.5847473,3.1010065,3
pakistan,6.595034,3.0806003,3
punjab [pakistan],6.86834,2.8588774,3
biodiversity,6.830252,5.63522,-1
population statistics,7.4010034,6.634936,6
potash,10.10427,4.710009,6
water,8.597889,5.2957406,6
fertilization rates,8.780636,5.309219,6
fertilization success,8.778367,5.310949,6
freshwater ecosystem,8.106796,5.8258924,6
freshwater fishes,7.9749126,5.90507,6
ion concentrations,10.319041,5.005087,6
natural conditions,7.9442935,6.495102,6
perca fluviatilis,5.0534544,5.29137,4
reproductive traits,7.7669177,5.7739587,6
ions,10.3029585,5.0200214,6
chloride ion,10.315881,4.999929,6
industrial effluent,8.697015,5.765084,6
ion,10.324184,5.0072856,6
magnesium ion,10.308874,4.991431,6
potassium carbonate,10.194572,4.8746247,6
potassium ion,10.317445,4.998558,6
sodium ion,10.278292,4.9721174,6
ion,10.323088,5.0072365,6
potassium carbonate,10.190554,4.872285,6
abundance,7.932276,6.0266786,6
biodiversity,6.829932,5.635119,-1
chlorine,10.215873,4.218252,6
concentration (composition),8.836289,4.648926,-1
effluent,8.708492,5.7209134,6
magnesium,10.292851,4.9885917,6
mine waste,8.597618,5.872077,6
motility,8.712939,5.4283123,6
potash,10.111317,4.696674,6
potassium,10.197453,4.8681474,6
sodium,10.120636,4.84569,6
sperm,8.732541,5.4321866,6
teleost,7.696869,5.9193673,6
animal cell,7.9421525,6.12543,6
animal experiment,8.425857,11.139331,-1
article,-5.2233624,4.4814816,-1
biodiversity,6.8300867,5.6352315,-1
chemical procedures,8.044654,6.2591624,6
cohort analysis,7.0764847,6.986152,6
concentration (parameter),8.827304,4.6657376,-1
controlled study,7.262236,12.685472,-1
developmental disorder,8.149105,5.338162,6
effluent,8.732059,5.682659,6
egg size,7.1905932,0.78184986,-1
embryo,8.448883,5.4433613,6
